,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,1577993539,71,-54.81,-68.31,53.6,25.28
1,Katsuura,75,JP,1577993539,75,33.93,134.5,48.0,4.7
2,Verkhnyaya Inta,60,RU,1577993539,89,65.99,60.32,2.43,6.82
3,Vaini,0,IN,1577993539,92,15.34,74.49,63.45,1.28
4,Jamestown,49,AU,1577993539,16,-33.21,138.6,75.13,15.99
5,Mataura,64,NZ,1577993539,83,-46.19,168.86,48.99,17.0
6,Kavieng,35,PG,1577993539,74,-2.57,150.8,82.98,3.98
7,Sumenep,100,ID,1577993539,81,-7.02,113.87,79.65,11.12
8,Byron Bay,75,AU,1577993371,93,-28.65,153.62,71.01,2.64
9,Saint George,20,GR,1577993539,59,39.45,22.34,42.01,6.93
10,Roald,75,NO,1577993539,81,62.58,6.12,46.0,24.16
11,Kavaratti,62,IN,1577993539,81,10.57,72.64,81.46,13.96
12,Forestville,40,CA,1577993539,68,48.74,-69.09,30.2,12.75
13,Carnarvon,0,ZA,1577993539,67,-30.97,22.13,66.9,20.94
14,East London,75,ZA,1577993539,88,-33.02,27.91,71.6,10.29
15,Codrington,68,AU,1577993539,93,-28.95,153.24,68.0,0.51
16,Makungu,100,TZ,1577993539,94,-8.74,35.29,60.94,2.28
17,Hithadhoo,0,MV,1577993439,78,-0.6,73.08,82.69,13.13
18,Wloclawek,0,PL,1577993540,77,52.65,19.07,33.01,3.0
19,Saskylakh,11,RU,1577993540,91,71.97,114.09,-17.03,8.08
20,Leningradskiy,0,RU,1577993540,82,69.38,178.42,-11.16,13.96
21,Caravelas,100,BR,1577993540,81,-17.73,-39.27,78.8,14.38
22,Kapaa,40,US,1577993540,78,22.08,-159.32,75.2,5.82
23,Pochutla,20,MX,1577993540,58,15.74,-96.47,89.01,17.22
24,Margate,75,AU,1577993540,72,-43.03,147.26,60.8,3.36
25,Kruisfontein,85,ZA,1577993496,85,-34.0,24.73,67.21,8.41
26,Yellowknife,90,CA,1577993416,84,62.45,-114.38,8.6,8.05
27,Bredasdorp,0,ZA,1577993540,72,-34.53,20.04,68.0,3.36
28,Nanortalik,100,GL,1577993540,35,60.14,-45.24,29.64,5.66
29,Bathsheba,40,BB,1577993540,58,13.22,-59.52,84.2,17.22
30,Tiksi,0,RU,1577993540,61,71.64,128.87,-19.61,3.69
31,San Policarpo,100,PH,1577993540,84,12.18,125.51,79.18,18.63
32,Sao Joao da Barra,40,BR,1577993540,58,-21.64,-41.05,86.0,23.04
33,Sitka,100,US,1577993540,50,37.17,-99.65,50.0,17.0
34,Alofi,0,NU,1577993541,69,-19.06,-169.92,76.87,10.07
35,Hasaki,20,JP,1577993541,80,35.73,140.83,35.6,3.36
36,Pathein,0,MM,1577993541,80,16.78,94.73,73.83,6.15
37,Tezu,100,IN,1577993541,93,27.93,96.16,55.99,1.54
38,Syracuse,1,US,1577993541,45,43.05,-76.15,51.8,11.41
39,Chokurdakh,0,RU,1577993541,94,70.62,147.9,-24.57,3.04
40,Rikitea,100,PF,1577993541,75,-23.12,-134.97,79.07,6.73
41,Esperance,75,AU,1577993541,82,-33.86,121.89,60.8,12.75
42,Kidal,0,ML,1577993541,23,18.44,1.41,53.13,13.94
43,Torbay,90,CA,1577993541,83,47.66,-52.73,34.0,17.22
44,Beira,40,ES,1577993541,81,43.2,-8.36,53.01,9.17
45,Souillac,100,FR,1577993541,93,45.6,-0.6,46.0,8.05
46,Punta Arenas,0,CL,1577993541,44,-53.16,-70.91,60.8,17.22
47,Resplendor,100,BR,1577993541,93,-19.33,-41.26,74.28,1.57
48,Bemmel,75,NL,1577993541,93,51.89,5.9,45.0,8.05
49,Tura,95,RU,1577993541,93,64.27,100.22,-3.17,5.1
50,New Norfolk,75,AU,1577993541,72,-42.78,147.06,60.8,3.36
51,Arman,100,RU,1577993541,72,59.7,150.17,24.03,41.36
52,Butaritari,100,KI,1577993541,74,3.07,172.79,82.44,0.94
53,Saint-Augustin,75,CA,1577993541,94,45.63,-73.98,39.0,2.24
54,Ponta do Sol,100,BR,1577993542,82,-20.63,-46.0,74.89,2.91
